sent,type,original_sent
"For women , taking on a greater financial responsibility in their marriages had positive effects on happiness and wellbeing .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_ing_non_finite_forms']","For women, taking on a greater financial responsibility in their marriages had positive effects on happiness and wellbeing."
Climate change is set to alter American forests as much as the arrival of white settlers did .,"['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_passive_present_simple']",Climate change is set to alter American forests as much as the arrival of white settlers did.
To wear a very dress at such a moment made it clear that Obama had no intention of allowing the White House to cramp her style .,"['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",To wear a very dress at such a moment made it clear that Obama had no intention of allowing the White House to cramp her style.
"Clinton 53 % Trump 40 % Overall , did the debate make you more likely to vote for a candidate ?","['a1_comparative_long', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","Clinton 53% Trump 40% Overall, did the debate make you more likely to vote for a candidate?"
"He has been held in federal institutions , for 12 of those years totally alone inside a concrete box from which he had no view of the sky .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_present_perfect', 'a2_relative_clause_who_which_that']","He has been held in federal institutions, for 12 of those years totally alone inside a concrete box from which he had no view of the sky."
"Mandela refused to renounce violence from his prison cell but López Rivera did so , some 20 years ago .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","Mandela refused to renounce violence from his prison cell but López Rivera did so, some 20 years ago."
"Not that he had a clue about any of that when he was growing up in San Sebastián and Chicago , where his family moved when he was 14 .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_be_have_do_in_the_past', 'a2_past_continuous']","Not that he had a clue about any of that when he was growing up in San Sebastián and Chicago, where his family moved when he was 14."
"We did sweeping operations lasting 30 days , getting villagers out of their homes , moving them off the rice paddies , them .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","We did sweeping operations lasting 30 days, getting villagers out of their homes, moving them off the rice paddies, them."
"For me , the decision was the one I had to make .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_had_to']","For me, the decision was the one I had to make."
"I did n't have it cut until I was 16 , because having it cut was such a torment to me .","['a1_to_be_past_was_were', 'a1_be_have_do_in_the_past']","I didn't have it cut until I was 16, because having it cut was such a torment to me."
"I ca n't say that I ever felt like a boy , I just had to live as a boy for the first 16 years of my life .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_could']","I can't say that I ever felt like a boy, I just had to live as a boy for the first 16 years of my life."
"Knan , 40s , project manager for Liberal Judaism , London , I did n't really know anything about gender identity until quite late , when I was in my .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_zero_article']","Knan, 40s, project manager for Liberal Judaism, London, I didn't really know anything about gender identity until quite late, when I was in my ."
"I also come from a secular Jewish family , so I did n't know much about what it means to be Jewish either .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","I also come from a secular Jewish family, so I didn't know much about what it means to be Jewish either."
But I had this wonderful community here to give me all that space and time to come out .,"['a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",But I had this wonderful community here to give me all that space and time to come out.
"I had to travel a lot for work , which gave me opportunities to be myself .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_had_to', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms', 'a2_zero_non_finite_forms']","I had to travel a lot for work, which gave me opportunities to be myself."
When I transitioned in 2007 we had difficulties like having the car regularly damaged and having the trannies live here painted on the house .,"['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_ing_non_finite_forms']",When I transitioned in 2007 we had difficulties like having the car regularly damaged and having the trannies live here painted on the house.
The film had the potential to seize the moment - and it did .,"['a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",The film had the potential to seize the moment - and it did.
"It 's since been revealed that the woman at the centre of the case , who had a child , killed herself in 2012 .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_passive_present_simple']","It's since been revealed that the woman at the centre of the case, who had a child, killed herself in 2012."
The story goes that Simmons had Parker a scene from The Fast and the Furious and Parker was hooked .,"['a1_to_be_past_was_were', 'a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']",The story goes that Simmons had Parker a scene from The Fast and the Furious and Parker was hooked.
"Parker 's enviable bone structure and toned figure were noticed immediately , landing him small roles despite the fact he had no prior acting experience .","['a1_possesive_s_sing', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","Parker's enviable bone structure and toned figure were noticed immediately, landing him small roles despite the fact he had no prior acting experience."
"So few of them had integrity , he told the Hollywood Reporter .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_tell_reported_verb']","So few of them had integrity, he told the Hollywood Reporter."
"But if that is the case , why did Comey not have a confidential word with the relevant congressional oversight committees ?","['a1_to_be_present_is_am_are', 'a1_be_have_do_in_the_past', 'a1_special_questions']","But if that is the case, why did Comey not have a confidential word with the relevant congressional oversight committees?"
"He had a wonderful style , and loved Dick Gaughan , John Martyn and Bert Jansch .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","He had a wonderful style, and loved Dick Gaughan, John Martyn and Bert Jansch."
The press corps when we were in Bosnia had at its kernel an antagonism between Ian and a particular expert who would argue that intervention against the Bosnian Serbs would set the region ablaze .,"['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_relative_clause_who_which_that', 'a2_zero_non_finite_forms']",The press corps when we were in Bosnia had at its kernel an antagonism between Ian and a particular expert who would argue that intervention against the Bosnian Serbs would set the region ablaze.
"They married in 1982 , and had two sons , Paul and Martin .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","They married in 1982, and had two sons, Paul and Martin."
The Deals and the Downfall noted that the candidate had a reputation for litigiousness with reporters and said Trump had bragged to him nearly 40 years ago about breaking reporters .,"['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_say_reported_verb']",The Deals and the Downfall noted that the candidate had a reputation for litigiousness with reporters and said Trump had bragged to him nearly 40 years ago about breaking reporters .
Czech media put the Cuban debt at about 7bn koruna ( $ 270 m ) but the ministry said it had yet to tally the total sum as talks on the repayment had only started late last year .,"['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_to_non_finite_forms']",Czech media put the Cuban debt at about 7bn koruna ($270m) but the ministry said it had yet to tally the total sum as talks on the repayment had only started late last year.
"His campaign lags far behind that of his Democratic rival , Hillary Clinton , whose team spent about twice as much as his did last month .","['a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_relative_clause_who_which_that']","His campaign lags far behind that of his Democratic rival, Hillary Clinton, whose team spent about twice as much as his did last month."
"Though the financial documents show little sign that Trump has opened offices around swing states , Trump did show some signs of scaling up for the general election .","['a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_present_perfect']","Though the financial documents show little sign that Trump has opened offices around swing states, Trump did show some signs of scaling up for the general election."
"A New York Times investigation into Trump 's finances found he had at least $ 650 m in debt , far more than he disclosed on earlier FEC forms .","['a1_possesive_s_sing', 'a1_comparative_exept', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","A New York Times investigation into Trump's finances found he had at least $650m in debt, far more than he disclosed on earlier FEC forms."
You probably have some crappy apartment or dorm that may or may not have a hardly luxurious patch of astroturf .,"['a1_present_simple_reg_act', 'a1_be_have_do_in_the_past']",You probably have some crappy apartment or dorm that may or may not have a hardly luxurious patch of astroturf.
"She also liked to be the centre of attention , and so had her detractors too .","['a1_past_simple_reg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","She also liked to be the centre of attention, and so had her detractors too."
Churchwell is also scathing about attempts to suggest Zelda had a larger role in her husband 's work than previously presumed .,"['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",Churchwell is also scathing about attempts to suggest Zelda had a larger role in her husband's work than previously presumed.
"F Scott Fitzgerald , ' I did not have a single feeling of inferiority , or shyness , or doubt , and no moral principles . '",['a1_be_have_do_in_the_past'],"F Scott Fitzgerald, 'I did not have a single feeling of inferiority, or shyness, or doubt, and no moral principles.'"
"One of the purposes of these types of articles , it seems to me , is to shame those who did n't do anything afterwards , except for , I do n't know , live their lives .","['a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_relative_clause_who_which_that']","One of the purposes of these types of articles, it seems to me, is to shame those who didn't do anything afterwards, except for, I don't know, live their lives."
The phrase wonder certainly implies that it 's a wonder you ever had a hit because you never followed it up .,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']",The phrase wonder certainly implies that it's a wonder you ever had a hit because you never followed it up.
"But for all the overblown rhetoric and parades across the region , the celebrations had a bittersweet tinge .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","But for all the overblown rhetoric and parades across the region, the celebrations had a bittersweet tinge."
"The Turkmen president , Gurbanguly Berdymukhammedov , went even further and had a gold statue of himself erected .","['a1_comparative_exept', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","The Turkmen president, Gurbanguly Berdymukhammedov, went even further and had a gold statue of himself erected."
"This , in our case , presumably meant back to Nigeria , a country of which I had only infant memories and a land upon which my youngest siblings had never set foot .","['a1_superlative_long', 'a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_relative_clause_who_which_that']","This, in our case, presumably meant back to Nigeria, a country of which I had only infant memories and a land upon which my youngest siblings had never set foot."
"While the outcome did prompt conversations about the fairness and usefulness of the electoral college , the historic recount , and peculiar issues surrounding hanging chads and butterfly ballots tempered that somewhat .","['a1_past_simple_reg', 'a1_be_have_do_in_the_past']","While the outcome did prompt conversations about the fairness and usefulness of the electoral college, the historic recount, and peculiar issues surrounding hanging chads and butterfly ballots tempered that somewhat."
"On Monday , a woman who identified herself as de Paz Duque 's wife said on a video that townspeople had El Tequilero 's mother and would exchange the woman for her husband .","['a1_possesive_s_sing', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_relative_clause_who_which_that', 'a2_say_reported_verb']","On Monday, a woman who identified herself as de Paz Duque's wife said on a video that townspeople had El Tequilero's mother and would exchange the woman for her husband."
"The two had a lot in common , having both decided to devote their lives to charitable work .","['a1_past_simple_reg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","The two had a lot in common, having both decided to devote their lives to charitable work."
"Yes , you can protest , but I want everyone to protest the right way .","['a1_can', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']","Yes, you can protest, but I want everyone to protest the right way."
"Fortunately , I know where ( and who ) I come from , and I can listen to my dad pushing back on Reaganism to guide me when I feel lost in Trumpland .","['a1_can', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']","Fortunately, I know where (and who) I come from, and I can listen to my dad pushing back on Reaganism to guide me when I feel lost in Trumpland."
"In the busy season between October and February , hundreds of tourists visit the street each day , starting at 6 am and often continuing until dark - which in the summer can be 11 pm .","['a1_can', 'a1_present_simple_reg_act']","In the busy season between October and February, hundreds of tourists visit the street each day, starting at 6am and often continuing until dark - which in the summer can be 11pm."
"The new breach provides fresh arguments for privacy activists who argue that the NSA can not be trusted to protect all the personal data it gathers , from bank accounts to health records .","['a1_can', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","The new breach provides fresh arguments for privacy activists who argue that the NSA cannot be trusted to protect all the personal data it gathers, from bank accounts to health records."
"It 's a small regatta , with 550 rowers , so we can pretty easily make up one day , he said .","['a1_to_be_present_is_am_are', 'a1_can', 'a2_say_reported_verb']","It's a small regatta, with 550 rowers, so we can pretty easily make up one day, he said."
"Donald Trump can give a hot damn about African Americans , but he comes out and says , ' I want to help inner cities , ' he said .","['a1_can', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_zero_article', 'a2_say_reported_verb']","Donald Trump can give a hot damn about African Americans, but he comes out and says, 'I want to help inner cities,' he said."
"He 's a crafty enough salesman and a crafty enough conman to know that he can not confuse the object with the subject , said Wilson .","['a1_to_be_present_is_am_are', 'a1_can', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","He's a crafty enough salesman and a crafty enough conman to know that he cannot confuse the object with the subject, said Wilson."
"Gangs can get $ 1 , 100 per kilogram for ivory in China , which announced last year it would shut down its own domestic market .","['a1_can', 'a1_past_simple_reg', 'a2_relative_clause_who_which_that']","Gangs can get $1, 100 per kilogram for ivory in China, which announced last year it would shut down its own domestic market."
"And as the credits roll , we ca n't help but wonder whether we 'll meet her again as we did at the beginning : crying on the sofa .","['a1_can', 'a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a1_future_simple']","And as the credits roll, we can't help but wonder whether we'll meet her again as we did at the beginning: crying on the sofa."
The polls are showing that as many as four opposition parties can join forces after the election .,"['a1_can', 'a1_present_continuous_act_rn']",The polls are showing that as many as four opposition parties can join forces after the election.
I think trust can be restored in Iceland if the right people get in .,"['a1_can', 'a1_present_simple_reg_act', 'a2_zero_conditional_m_if']",I think trust can be restored in Iceland if the right people get in.
Increased opportunities for the public to exert a greater political influence will empower the people and make them feel like they can rein in the politicians .,"['a1_can', 'a1_future_simple', 'a2_to_non_finite_forms']",Increased opportunities for the public to exert a greater political influence will empower the people and make them feel like they can rein in the politicians.
Runar hopes there will be a political change that can benefit both his own industry and regain people 's trust in the country 's politicians .,"['a1_possesive_s_sing', 'a1_can', 'a1_present_simple_3d_pers']",Runar hopes there will be a political change that can benefit both his own industry and regain people's trust in the country's politicians.
You ca n't turn on the radio or TV without being bombarded by election news .,"['a1_can', 'a2_ing_non_finite_forms']",You can't turn on the radio or TV without being bombarded by election news.
Matt believes there are different outcomes that can realistically happen once the votes have been counted .,"['a1_can', 'a1_present_simple_3d_pers', 'a2_present_perfect']",Matt believes there are different outcomes that can realistically happen once the votes have been counted.
"The best case for Hillary Clinton can not be , and is not , that she is n't Donald Trump .","['a1_to_be_present_is_am_are', 'a1_can']","The best case for Hillary Clinton cannot be, and is not, that she isn't Donald Trump."
"As should be apparent , a wealthy country of 320 million people can easily absorb 110 , 000 refugees .","['a1_can', 'a2_should', 'a2_passive_modal_verbs']","As should be apparent, a wealthy country of 320 million people can easily absorb 110, 000 refugees."
"It may not be obvious , but putting newborns to the breast within the first hour of life can make the difference between life and death .",['a1_can'],"It may not be obvious, but putting newborns to the breast within the first hour of life can make the difference between life and death."
Delaying the start of breastfeeding beyond one hour after birth can raise a newborns risk of dying by 80 % compared to those who are breastfed immediately .,"['a1_can', 'a2_ing_non_finite_forms', 'a2_passive_present_simple']",Delaying the start of breastfeeding beyond one hour after birth can raise a newborns risk of dying by 80% compared to those who are breastfed immediately.
"But to serve millions of mothers and children better , one simple and important thing we can do now is support early initiation of breastfeeding .","['a1_can', 'a2_to_non_finite_forms']","But to serve millions of mothers and children better, one simple and important thing we can do now is support early initiation of breastfeeding."
"Providing new mothers with guidance on initiating breastfeeding , not supplying any liquids or foods other than breastmilk and ensuring that staff are appropriately trained are all simple adjustments that can help a woman breastfeed successfully .","['a1_to_be_present_is_am_are', 'a1_can', 'a2_ing_non_finite_forms', 'a2_passive_present_simple']","Providing new mothers with guidance on initiating breastfeeding, not supplying any liquids or foods other than breastmilk and ensuring that staff are appropriately trained are all simple adjustments that can help a woman breastfeed successfully."
"Levelling up can be a bit of a slow grind , but Pidgey stacking can boost your trainer by at least one level .","['a1_can', 'a2_ing_non_finite_forms', 'a2_passive_modal_verbs']","Levelling up can be a bit of a slow grind, but Pidgey stacking can boost your trainer by at least one level."
"You can use any Pokémon that can evolve , of course , but Pidgey is the most candy efficient given its abundance .","['a1_to_be_present_is_am_are', 'a1_can']","You can use any Pokémon that can evolve, of course, but Pidgey is the most candy efficient given its abundance."
"These individual values ( IVs ) can not be directly interrogated , but using some calculations based on the health and power of a particular Pokémon for its given level , you can infer them .",['a1_can'],"These individual values (IVs) cannot be directly interrogated, but using some calculations based on the health and power of a particular Pokémon for its given level, you can infer them."
By doing so you can work out which Pokémon are worth spending time improving using stardust and evolution candy and which are not .,"['a1_to_be_present_is_am_are', 'a1_can', 'a2_ing_non_finite_forms']",By doing so you can work out which Pokémon are worth spending time improving using stardust and evolution candy and which are not.
"The IV rater allows you to quickly estimate how good your Pokémon can be , and whether it is worth hanging on to , simply by moving some sliders .","['a1_to_be_present_is_am_are', 'a1_can', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']","The IV rater allows you to quickly estimate how good your Pokémon can be, and whether it is worth hanging on to, simply by moving some sliders."
"Putting in your location and searching will bring up all the Pokémon around you , but you can narrow down your search to specific Pokémon and search a much wider area .","['a1_can', 'a1_future_simple']","Putting in your location and searching will bring up all the Pokémon around you, but you can narrow down your search to specific Pokémon and search a much wider area."
"If Mr Trump is up 10 or 15 points on election day and he ends up losing , then , you know , maybe he can raise some questions , Obama ventured .","['a1_to_be_present_is_am_are', 'a1_can', 'a1_present_simple_3d_pers', 'a1_past_simple_reg']","If Mr Trump is up 10 or 15 points on election day and he ends up losing, then, you know, maybe he can raise some questions, Obama ventured."
"While the dynamic can shift more than once , as the cycle runs its course there are fewer and fewer opportunities to do so .","['a1_comparative_exept', 'a1_there_is_am_are', 'a1_can', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms']","While the dynamic can shift more than once, as the cycle runs its course there are fewer and fewer opportunities to do so."
It would be amazing if this is something we can detect in life one day .,"['a1_to_be_present_is_am_are', 'a1_can', 'a2_zero_conditional_m_if']",It would be amazing if this is something we can detect in life one day.
"If we can detect it , prevent it , stop it , let 's do all of the above .","['a1_can', 'a1_present_simple_reg_act', 'a2_imperatives', 'a2_zero_conditional_if_m']","If we can detect it, prevent it, stop it, let's do all of the above."
Can I get back to you after I consult with my advisors ?,"['a1_can', 'a1_present_simple_reg_act']",Can I get back to you after I consult with my advisors?
Corral some and see if they can spot China on a map before Gary .,"['a1_can', 'a1_present_simple_reg_act', 'a2_imperatives']",Corral some and see if they can spot China on a map before Gary.
"Smith , who specializes in the legal ramifications of autonomous cars , said that this middle ground has unique dangers : The difficulty comes if issues the computer ca n't handle happen so infrequently .","['a1_can', 'a1_present_simple_3d_pers', 'a2_zero_article', 'a2_relative_clause_who_which_that', 'a2_say_reported_verb']","Smith, who specializes in the legal ramifications of autonomous cars, said that this middle ground has unique dangers: The difficulty comes if issues the computer can't handle happen so infrequently."
Say it can do 99 % but not 100 % - then people are not ready for the 1 % .,"['a1_to_be_present_is_am_are', 'a1_can']",Say it can do 99% but not 100% - then people are not ready for the 1%.
We have a lot of problems in physics and we ca n't blame our failure to solve them on simulation .,"['a1_can', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']",We have a lot of problems in physics and we can't blame our failure to solve them on simulation.
"On one hand , neuroscientists and artificial intelligence researchers can check whether it 's possible to simulate the human mind .","['a1_to_be_present_is_am_are', 'a1_can', 'a2_to_non_finite_forms']","On one hand, neuroscientists and artificial intelligence researchers can check whether it's possible to simulate the human mind."
"On the other hand , scientists can look for hallmarks of simulation .",['a1_can'],"On the other hand, scientists can look for hallmarks of simulation."
The Guardian asked three economists to weigh in on what we can expect from a Trump or Clinton White House .,"['a1_can', 'a1_past_simple_reg', 'a2_to_non_finite_forms']",The Guardian asked three economists to weigh in on what we can expect from a Trump or Clinton White House.
He makes noises about potentially defaulting on debt but then pivots and says the debt can be financed by printing money .,"['a1_can', 'a1_present_simple_3d_pers', 'a2_say_reported_verb', 'a2_passive_modal_verbs']",He makes noises about potentially defaulting on debt but then pivots and says the debt can be financed by printing money.
"While no individual event can be described a direct cause and effect relationship , increasingly heavy rainfall and flood events are consistent with climate models for a warming world .","['a1_to_be_present_is_am_are', 'a1_can']","While no individual event can be described a direct cause and effect relationship, increasingly heavy rainfall and flood events are consistent with climate models for a warming world."
We can learn from the impoverished Brexit debate that was marred by binary choices cloaked in wilful misinformation .,"['a1_can', 'a2_passive_past_simple']",We can learn from the impoverished Brexit debate that was marred by binary choices cloaked in wilful misinformation.
"We can look at how far will get us , and at the maximum speed and scale of change that market mechanisms and the pricing of carbon are likely to deliver .","['a1_to_be_present_is_am_are', 'a1_can', 'a1_future_simple', 'a2_to_non_finite_forms']","We can look at how far will get us, and at the maximum speed and scale of change that market mechanisms and the pricing of carbon are likely to deliver."
At least Rooney can still consider himself a favourite of England 's followers .,"['a1_possesive_s_sing', 'a1_can']",At least Rooney can still consider himself a favourite of England's followers.
The best Priebus can hope for is Potemkin displays of unity on stage and no violence off it - but even that is not assured .,"['a1_to_be_present_is_am_are', 'a1_can', 'a2_passive_present_simple']",The best Priebus can hope for is Potemkin displays of unity on stage and no violence off it - but even that is not assured.
"Breadwinning women may feel a sense of pride , without worrying what others will say if they ca n't or do n't maintain it .","['a1_can', 'a1_present_simple_reg_act', 'a1_future_simple', 'a2_first_conditional_if_m']","Breadwinning women may feel a sense of pride, without worrying what others will say if they can't or don't maintain it."
"Survey respondents were asked how much time they spent during the last month being nervous , calm and peaceful , downhearted and blue , happy , and so down in the dumps that nothing can cheer you up .","['a1_can', 'a1_past_simple_irreg', 'a2_ing_non_finite_forms', 'a2_passive_past_simple']","Survey respondents were asked how much time they spent during the last month being nervous, calm and peaceful, downhearted and blue, happy, and so down in the dumps that nothing can cheer you up ."
"Consequently , we can not presume that the reported relationships will hold in older populations , gay and lesbian populations , or cohabiting populations , the study said .","['a1_can', 'a1_future_simple', 'a2_say_reported_verb']","Consequently, we cannot presume that the reported relationships will hold in older populations, gay and lesbian populations, or cohabiting populations, the study said."
Rising seas can destroy vital ecosystems in the Everglades and at some point could even threaten icons like the Statue of Liberty and Ellis Island .,"['a1_can', 'a2_could']",Rising seas can destroy vital ecosystems in the Everglades and at some point could even threaten icons like the Statue of Liberty and Ellis Island.
"The NPS is scrambling to survey the area as inundations are wiping away this heritage , often before archaeologists can document it .","['a1_can', 'a1_present_continuous_act_rn', 'a2_to_non_finite_forms']","The NPS is scrambling to survey the area as inundations are wiping away this heritage, often before archaeologists can document it."
"You can see houses that are washing away , if you walk along the coast you see the profile of houses .","['a1_can', 'a1_present_simple_reg_act', 'a1_present_continuous_act_rn', 'a2_zero_conditional_if_m']","You can see houses that are washing away, if you walk along the coast you see the profile of houses."
"A site is a snapshot in time , it 's not like we can pick it up and move it somewhere else .","['a1_to_be_present_is_am_are', 'a1_can']","A site is a snapshot in time, it's not like we can pick it up and move it somewhere else."
"They can sell items onto dealers , who can get about $ 50 , 000 for a figurine from a buyer in Japan .",['a1_can'],"They can sell items onto dealers, who can get about $50, 000 for a figurine from a buyer in Japan."
