Text,Tag,Markers
"The UK's Prudential Regulation Authority announced its dividend ban on March 31, which increased the combined book value of UK banks by about £8bn.",no,label_sentences__4_26_21_1000_
"The comically mischievous partisan group, gang, or company that has an ultimate, idealistic goal holding the faction together.",yes,label_sentences__4_26_21_1000_
Sven catches around 3% of the population per annum (p.a.) and the fish stock regenerates at 3% p.a.,no,label_sentences__4_26_21_1000_
"The old trick of imagining everyone in their underwear to get more confidence, the new trick is imagining yourself in pants to get more productive.",yes,label_sentences__4_26_21_1000_
It's time for the series to innovate.,no,label_sentences__4_26_21_1000_
"However, there will inevitably come a time when the public shifts their attention to the state of the economy.",yes,label_sentences__4_26_21_1000_
"The result was the YouTube channel Risk Bites, which launched in 2012.As I describe in the paper,",no,label_sentences__4_26_21_1000_
"It was a mile wide and an inch deep, resulting in me avoiding it for most of my playthrough.",no,label_sentences__4_26_21_1000_
"According to the UN FAO, like Sven, we are over-fishing 30% of fish stocks and a further 60% are fished at the maximum sustainable level.",yes,label_sentences__4_26_21_1000_
Domino's and Papa John's are performing a lot better than the chains that are optimized for dine-in or personalized orders.,yes,label_sentences__4_26_21_1000_
"'Granting an app access to your contacts is ethically dicey, even if it's an app you trust.",yes,label_sentences__4_26_21_1000_
And she lived her life like the child in her first quote:,yes,label_sentences__4_26_21_1000_
Simon Kuznets developed the concept of GDP for a US Congress report in 1934 and it has been widely used as the go-to tool for measuring the economy for decades.,yes,label_sentences__4_26_21_1000_
Not if you fall in love with your best friend.',no,label_sentences__4_26_21_1000_
is now a big problem as complaints of data privacy infringement keeps increasing and a lot of people contemplating boycotting certain services in order to maintain their privacy and safety.,yes,label_sentences__4_26_21_1000_
"However, there are many more types of emissions than just CO2, and even that needs more things considered than simply the driving part of the equation.",yes,label_sentences__4_26_21_1000_
And these are just some of the topics where the channel's videos are meeting the needs of casual learners.,no,label_sentences__4_26_21_1000_
"Without knowing what other ways Clubhouse might be using this data, it's hard to pinpoint the potential harms, aside from the fundamental lack of consent involved in collecting data on nonusers.",yes,label_sentences__4_26_21_1000_
We withdraw from the conversation as soon as good manners allow.,yes,label_sentences__4_26_21_1000_
"the number of a person named C who isn't on the app, and User B also uploads the same number",no,label_sentences__4_26_21_1000_
An Insider reporter spent a night at a Cracker Barrel outside Philadelphia.,yes,label_sentences__4_26_21_1000_
All of us went to the bathroom multiple times.,no,label_sentences__4_26_21_1000_
"In return for the brand awareness, trade secrets, and operating best practices, franchisees pay monthly commissions to the franchisor.",yes,label_sentences__4_26_21_1000_
Pain passed down like an heirloom.,no,label_sentences__4_26_21_1000_
"This presents problems not only the level of the individual, but on the level of society.",yes,label_sentences__4_26_21_1000_
"So if franchises are so great, why doesn't everyone run one?",yes,label_sentences__4_26_21_1000_
"you've tried to block from your life, but they still have your number in their phone; if they upload their contacts, Clubhouse will know you're connected to them and make recommendations on that basis.",no,label_sentences__4_26_21_1000_
"Which is cool, although you can probably also imagine scenarios in which being thrown into a private room with people you've never met might be less delightful.",yes,label_sentences__4_26_21_1000_
"However, a franchise business is the opposite.",no,label_sentences__4_26_21_1000_
"Last summer, I went to a bar in Milwaukee with two other flight crew members I did not know well.",yes,label_sentences__4_26_21_1000_
The information you process throughout your life defines who you are.,yes,label_sentences__4_26_21_1000_
I believe we have a responsibility to make what we know as accessible and relevant as possible to them-even if we're just talking about a handful of people.,no,label_sentences__4_26_21_1000_
"no time, b) no talent or c) are not rewarded appropriately for using YouTube to communicate what they know to others.",no,label_sentences__4_26_21_1000_
"The company's foresight to optimize for delivery, place stores in low-cost and route-optimized retail locations, and build a digital brand and app that really works is now paying off.",yes,label_sentences__4_26_21_1000_
"Sven, a fisherman who relishes the simple life, is the president and only resident of a tiny lake bound Nordic country called Sven Lake (sadly, the Bolshoi Ballet are yet to respond to his multiple invitations to perform there).",no,label_sentences__4_26_21_1000_
"There is concrete scientific evidence of this: a recent paper studied millions of YouTube comments, showing how users slowly drift from mild to extreme radical content.",yes,label_sentences__4_26_21_1000_
He told me that my experience was a more accurate representation of what van life is really like.,yes,label_sentences__4_26_21_1000_
What seemed to be advertised as the biggest adventure Pokémon has seen ended up being a weakly delivered testament to a loss of passion.,no,label_sentences__4_26_21_1000_
"But when they do, the first thing they see is a Risk Bites video.",no,label_sentences__4_26_21_1000_
"As someone whose Marian did not die, I believe the answer is yes.",yes,label_sentences__4_26_21_1000_
I let them all cook for a bit before throwing in spinach.,yes,label_sentences__4_26_21_1000_
The problem keeps getting worse (as illustrated in the chart below).,no,label_sentences__4_26_21_1000_
We arrived at the bar around 3 or 4 in the afternoon.,yes,label_sentences__4_26_21_1000_
It led to a dry and uninspiring experience that lacked the heart and care seen in other Pokémon installments.,no,label_sentences__4_26_21_1000_
"You don't have to do it, but if you don't, you lose the ability to invite anyone else to Clubhouse.",yes,label_sentences__4_26_21_1000_
"When you think, 'I want to order pizza online,' do you picture the Domino's pizza tracker?",yes,label_sentences__4_26_21_1000_
The 2018 Inclusive Wealth Report found that 44 out of 140 countries have experienced a decline in inclusive wealth per capita since 1992 despite almost all recording positive GDP growth per capita.,yes,label_sentences__4_26_21_1000_
"Cut into, emptied, and sewn back together like nothing happened.",no,label_sentences__4_26_21_1000_
"However, just because the concept is logical, advocates should not assume it will happen naturally - they will need to fight hard.",no,label_sentences__4_26_21_1000_
"As a point of comparison, nearly 27% of Europe's oil imports came from Russia alone.",yes,label_sentences__4_26_21_1000_
Was it safe to be sleeping in this spot?,no,label_sentences__4_26_21_1000_
It's pivotal to how people develop the skills and the understanding that enable them to build a better future for themselves and their communities.,yes,label_sentences__4_26_21_1000_
That's the amount of time I've been working from home.,no,label_sentences__4_26_21_1000_
"She gave me my clothes, my phone, my key card.",yes,label_sentences__4_26_21_1000_
"However, banks continue to generate earnings that can be used for this purpose.",yes,label_sentences__4_26_21_1000_
"Aristotle (384-322 BC) was a great philosopher and wrote on physics, among other subjects.",yes,label_sentences__4_26_21_1000_
"It makes use of the crop's fibre, rather than its fruit.",yes,label_sentences__4_26_21_1000_
The money does not just sit idle in the bank's vault.,yes,label_sentences__4_26_21_1000_
"This can be physical illness, like the kind the protagonist's mother forces on her daughters.",yes,label_sentences__4_26_21_1000_
"If you're not convinced, try it yourself.",no,label_sentences__4_26_21_1000_
", we mean access to all the forms of 'money value', as I explained in the opening paragraph of this article, it's not necessarily about the money(currency)",no,label_sentences__4_26_21_1000_
"I don't know about you, but when I hear really good music, I automatically start dancing.",yes,label_sentences__4_26_21_1000_
"The RV parking spots were directly across from the Cracker Barrel's dumpsters, so the banging of the truck sounded like an earthquake inside the van.",yes,label_sentences__4_26_21_1000_
Pizza is a cheap and standard product that is easy to make.,yes,label_sentences__4_26_21_1000_
"Yet, I would argue that this is actually not the most important factor in whether a change lasts.",no,label_sentences__4_26_21_1000_
And the problem doesn't stop there.,no,label_sentences__4_26_21_1000_
There have been some positive signs that countries are warming to the idea of placing greater emphasis on economic metrics that incorporate nature.,no,label_sentences__4_26_21_1000_
It does not have to be dissected and examined and redistributed for the consumption of others.,no,label_sentences__4_26_21_1000_
Some quotes date back more than 2300 years and are still valid today.,yes,label_sentences__4_26_21_1000_
It is a direct result of her radiation exposure.,yes,label_sentences__4_26_21_1000_
"This is a victory, and it was hard-won.",no,label_sentences__4_26_21_1000_
Or at least he assumed so.,no,label_sentences__4_26_21_1000_
It got ridiculous at that point.,no,label_sentences__4_26_21_1000_
Your pain can belong to you only.,no,label_sentences__4_26_21_1000_
"Now, I wouldn't recommend this, but desperate times call for desperate measures.",no,label_sentences__4_26_21_1000_
"Instead of a group hell-bent on freeing Pokémon from the human grasp, or reshaping the face of the planet, Team Skull was simply a band of misfit teenagers who didn't fit in with the rest of society.",yes,label_sentences__4_26_21_1000_
"For instance, Europe's most common biofuel, by a wide margin, is biodiesel, but it also has one of the largest fleet of privately owned diesel cars anywhere in the world.",yes,label_sentences__4_26_21_1000_
"The men in Flynn's stories are inconsequential, easily supplanted by any other man.",yes,label_sentences__4_26_21_1000_
"As with all lies, the truth will come out one day.",yes,label_sentences__4_26_21_1000_
"In fact, I learned that Walmart is one of the most popular overnight parking spots for van-lifers and RVers - not beaches and national parks, like many might assume.",yes,label_sentences__4_26_21_1000_
He read through the first page and turned it for more.,yes,label_sentences__4_26_21_1000_
"Finally, it's worth keeping in mind that the local conditions can affect the impact on food production greatly, and that a well-managed feedstock could very well have a much lesser impact on food prices.",yes,label_sentences__4_26_21_1000_
"When I call my mother on Mother's Day, we make mild conversation for 30 minutes.",yes,label_sentences__4_26_21_1000_
"Never mind the fact that the women penning these think pieces and articles were often the teenagers screeching, 'Why are you looking at me?",yes,label_sentences__4_26_21_1000_
"When she discovered I was sexually active, she put me on house arrest and then disowned me.",yes,label_sentences__4_26_21_1000_
Leaders are understandably nervous and will do everything they can to achieve a quick 'V' shaped recovery.,yes,label_sentences__4_26_21_1000_
The white curtain covering the glass door was just sheer enough that he could see the visage of a visitor but just opaque enough that they could not see in.,yes,label_sentences__4_26_21_1000_
"The GDP of Sven Lake consists solely of the value of Sven's catch of trout, which he sells to neighbouring countries.",yes,label_sentences__4_26_21_1000_
People cannot accept that a mother might abuse her own child without first having been a victim herself.,yes,label_sentences__4_26_21_1000_
"The reason willpower is needed initially is that the old behavioral patterns get triggered automatically, and they require conscious reflection to override.",yes,label_sentences__4_26_21_1000_
"I even imagined the police knocking on the door of the van in the middle of the night, forcing us to leave.",yes,label_sentences__4_26_21_1000_
Bobby looked under the couch cushions but all he found was the remote.,yes,label_sentences__4_26_21_1000_
"When we arrived, the Cracker Barrel was already closed for the night, so I had to look elsewhere for food.",yes,label_sentences__4_26_21_1000_
"The reality is their money is most likely safer than ours, especially with the recent increase in cybercrimes, internet fraud, and data privacy infringement.",yes,label_sentences__4_26_21_1000_
The strange adventure started when I rented a Mercedes-Benz Sprinter van in January from Outdoorsy and enlisted the help of my friend to drive to Philadelphia and spend the weekend in the van with me.,yes,label_sentences__4_26_21_1000_
I also worried about our safety.,no,label_sentences__4_26_21_1000_
"Hence, it is the duty of the financial system to find a way to keep up with human advancement and simultaneously ensure security.",yes,label_sentences__4_26_21_1000_
"In a single-parent household, the parent is usually the mother.",yes,label_sentences__4_26_21_1000_
"A few years ago, before the widespread adoption of AI in our lives, two graduate students were working on an intelligent vacuum cleaner, the anecdote says.",yes,label_sentences__4_26_21_1000_
"the $10,000 you will be taking home worths less than the $10,000 you put in.",no,label_sentences__4_26_21_1000_
"By comparing wiring diagrams of different human brains, it is likely that with this information, we will be able to develop target treatments such as better drugs, neural prostheses, and different surgical practices.",yes,label_sentences__4_26_21_1000_
"But what does it do to you in order to achieve its results?To answer this question, let me present you with a choice.",no,label_sentences__4_26_21_1000_
"but the value we place on it, which is obviously dependent on the value we all derive from the money.",no,label_sentences__4_26_21_1000_
Certainly such a small difference can't matter much?A small snag may not matter if its only encountered once.,no,label_sentences__4_26_21_1000_
"And yet, with a few exceptions, academics either eschew the platform as being beneath them, post interminably boring videos that hardly anyone watches, or claim that they either have a)",no,label_sentences__4_26_21_1000_
"If we want to accomplish building a single human connectome, we will need many electron microscopes and artificial intelligence that can accomplish the task of visually tracing neuronal projections and recognizing and recording synaptic connections.",yes,label_sentences__4_26_21_1000_
"In the last homework for this lesson series, I want you to consider your own plans for focus.",no,label_sentences__4_26_21_1000_
It was hard for me to empathize with women.,yes,label_sentences__4_26_21_1000_
"Electron microscopy is rapidly improving and decreasing in cost, and there is a promising future of faster and stronger prototypes of these microscopes.",yes,label_sentences__4_26_21_1000_
"They were the first to both offer mobile ordering and to build a Pizza Tracker on their website, a concept that delivery startups have since copied.",yes,label_sentences__4_26_21_1000_
"For journalists, they might also include confidential sources (although careful journalists will avoid this).",no,label_sentences__4_26_21_1000_
"The snake is inserted into the liquid, and the aging process dissolves the venom, making it nonpoisonous.",yes,label_sentences__4_26_21_1000_
"I spent a night in a camper van in a Cracker Barrel parking lot, and the experience revealed a surprising side of the van-life movement",no,label_sentences__4_26_21_1000_
"Ecosystem services represent the contributions that nature makes to human well-being, including: pollination of crops, regulation of air and climate, decomposing waste and recycling nutrients, regulating diseases, controlling erosion and providing materials.",no,label_sentences__4_26_21_1000_
"The newly introduced Gigantamax system seemed like a step-down from the more exciting and aesthetically pleasing Mega-Evolution system from Pokémon X and Y, and the world felt hollow.",yes,label_sentences__4_26_21_1000_
"'Jesus, who's bothering me at this hour",no,label_sentences__4_26_21_1000_
"An alcoholic says, 'I can still go to the bar with my friends.",yes,label_sentences__4_26_21_1000_
"By ignoring the value of nature, decisions are not being made based on a full set of information and they are proving to be unsustainable.",yes,label_sentences__4_26_21_1000_
"Normal was just a combination of what you were used to doing, and what you wanted to do.",yes,label_sentences__4_26_21_1000_
"Whilst we as disabled women have to take extra steps to enjoy things that society refuses to include us in, the more of us that are out there challenging these barriers and making sure we're seen, the more progress we can hopefully make in making travel more safe and inclusive.",yes,label_sentences__4_26_21_1000_
"(Being the dutiful father, I got a whole bunch of clips of people who were, so I'm told, a big deal.)Despite",no,label_sentences__4_26_21_1000_
We find our mouthpieces for pain in women whose pain resembles our own.,yes,label_sentences__4_26_21_1000_
The potential benefits of biofuels will depend almost entirely on the possibility to make proper use of land for different feedstock.,yes,label_sentences__4_26_21_1000_
"All of this, of course, is to give you more power over how you spend your time and energy - back onto things that you really care about.",no,label_sentences__4_26_21_1000_
But I learned firsthand what van life is really like after staying overnight in the Cracker Barrel parking lot.,yes,label_sentences__4_26_21_1000_
"Looking at green stimulus options through the lens of traditional GDP, will therefore not cast these measures in a flattering light - other measures may appear quicker and more effective by comparison.",yes,label_sentences__4_26_21_1000_
The first Cracker Barrel I called immediately granted me permission to park overnight.,yes,label_sentences__4_26_21_1000_
"This potentially creates a world where every individual in the internet space will look for ways to uniquely create value for other people, which is exactly what the internet was designed to be.",yes,label_sentences__4_26_21_1000_
"A quick Twitter search turned up plenty of further examples, some queasier than others.",no,label_sentences__4_26_21_1000_
"We cannot erase these scars completely, but the skin can learn new memories.",yes,label_sentences__4_26_21_1000_
"Pyotr, who now works as an economist for an NGO, immediately sees the problem.",no,label_sentences__4_26_21_1000_
"In Sharp Objects, Camille's younger sister Amma says, 'Sometimes, if you let people do things to you, you're really doing it to them.'",yes,label_sentences__4_26_21_1000_
"One big reason people went to Starbucks was to spend a few hours working in a comfortable place, or to enjoy their coffee with a friend.",yes,label_sentences__4_26_21_1000_
"This is, believe it or not, the healthiest our relationship has ever been.",no,label_sentences__4_26_21_1000_
"A month later, while visiting Boston with my mother, I gave her a general summary of what happened.",yes,label_sentences__4_26_21_1000_
"You can do anything you want over in that sink, but don't do it in mine, she'd said to him right after they moved in together, a year before they married.",yes,label_sentences__4_26_21_1000_
"In the end, we were able to fix the outlets, but the heater remained out of commission.",yes,label_sentences__4_26_21_1000_
"Not if you marry a woman,' I think to myself. '",no,label_sentences__4_26_21_1000_
"Sven Lake is in equilibrium and life is good, if not a little dull.",yes,label_sentences__4_26_21_1000_
"Instead, I spent the night in a Cracker Barrel parking lot.",yes,label_sentences__4_26_21_1000_
"The lesson is simple: if you care about making a change in your life last long-term, you need to make it a priority for your life for more than a few weeks.",yes,label_sentences__4_26_21_1000_
Why should we make the effort to make what we know publicly accessible if we're content to restrict it to the wealthy and the privileged?,yes,label_sentences__4_26_21_1000_
"Still, it's a sort of high-touch approach that heightens the, well, clubby feeling that has been a big part of Clubhouse's early appeal.",no,label_sentences__4_26_21_1000_
What started off as small compromises snowballed into bigger ones.,no,label_sentences__4_26_21_1000_
"You get an idea for a new working routine, schedule or system.",no,label_sentences__4_26_21_1000_
"After leaving VidCon in 2011, I became intrigued by the potential reach",no,label_sentences__4_26_21_1000_
My mother refused to give up her maiden name when she married.,yes,label_sentences__4_26_21_1000_
"You get to watch content for free, but you have to watch ads in turn as well.",yes,label_sentences__4_26_21_1000_
She was possessive that way and what the heck did she think he was gonna do in the sink anyway?,yes,label_sentences__4_26_21_1000_
"This idea of growth for the series doesn't stop at the faction, though.",yes,label_sentences__4_26_21_1000_
Sometimes bureaucracy is so overwhelming that the original goal is not visible anymore.,yes,label_sentences__4_26_21_1000_
"They ended up issuing just under $6.5 billion in debt over that period, and while a decent chunk of it went to refinance old notes, another big chunk went to equity holders through special dividends and buybacks.",no,label_sentences__4_26_21_1000_
"It was a nudge from Blake Eskin, an assistant professor of journalism and design at the New School, that prompted me to look into this.",yes,label_sentences__4_26_21_1000_
"Her drawers were all empty, of course, and how he first realized that she had left, her house key sitting quietly next to the lamp, the drawers pulled open to reveal the emptiness.",yes,label_sentences__4_26_21_1000_
"Like the cleaning little robot, its recommendation algorithm has to maximize the reward function, which is user engagement in this case.",no,label_sentences__4_26_21_1000_
What happened?It turned out that the robot did exactly what it supposed to do: maximizing the rewards by cleaning dust from the floor.,no,label_sentences__4_26_21_1000_
"We were the only vehicle parked in this parking lot, and the van stuck out like a sore thumb.",yes,label_sentences__4_26_21_1000_
