"sentence","predicted_type","actual_type","data_trash","sentence_id","date"
"This was a rented Ford Taurus.","to_be_past","to_be_past",0,"2f040610afa3797274a856aa752906c6e702a302fc001a19c8ad0196","2020-10-20 22:36:15.658745+04"
"It was dinnertime, and we started looking for a place to eat.","past_continuous","other",0,"58bd327b5a2af9a471bdeaed94dff9db3c682a275b79b3d954f367de","2020-10-20 22:36:36.985923+04"
"We got to Exit 238, Lebanon, Tennessee.","past_simple","past_simple",0,"6c141c526053d2a42deb85f966be0b4b21be4b458485222f72b53d48","2020-10-20 22:36:43.180156+04"
"We got off the exit, we found a Shoney's restaurant.","past_simple","past_simple",0,"3bfdca3a29ec48718d300d9f4e612b55d846f1d2738354885b08a379","2020-10-20 22:36:45.602253+04"
"Low-cost family restaurant chain, for those of you who don't know it.","present_simple","trash",1,"df4a3b361e659cdd84a0ed8390629ae9765a62efde4f53e0f4f94619","2020-10-20 22:37:19.870593+04"
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.","past_simple","past_simple",0,"a3ea7a204915400015a7ddbea8b91e57741f611be70278591afb4ab6","2020-10-20 22:37:48.708408+04"
"She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.","past_simple","other",0,"15109989b3ff6003f73ba1a7b1ce9581129ae229696a47d8fcdb963d","2020-10-20 22:38:02.266105+04"
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""","past_simple","other",0,"fac0098f0a3e5b5907290b3ab3e36638f85f58d34cb092138c0b166b","2020-10-20 22:38:07.457875+04"
"And the man said, ""He's come down a long way, hasn't he?","present_perfect","other",0,"1c5225f2350c753f51a999a0240ff39e4420d3d387c92d8bb13bee4f","2020-10-20 22:38:10.871594+04"
"And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?","used_to","other",0,"88571a79dd15931d1fb55eb3139b0feaaed95c5754d8821fb6e4b000","2020-10-20 22:43:29.204311+04"
"Then I remembered it could be a bunch of things.","could","other",0,"208e66f5c98df273ee3cfd8bb6a2fdf5e3a1246dbc31bc230da2266f","2020-10-20 22:43:48.229991+04"
"But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.","past_simple","other",0,"88c664991f2efc80fcf4f79377980e21e8371326dd7bc82b413dcc37","2020-10-20 22:43:51.895722+04"
"It was printed in Monterey, I checked.","to_be_past","to_be_past",0,"7deec62302cbf6005d45a13b5d89766c453a5912f420902f09620d78","2020-10-20 22:43:56.636073+04"
"Most of these expenditures are also profitable.","to_be_present","to_be_present",0,"76d4a2cdae4103fc5ad34860fff8fe8936f24d4a306b973f94798642","2020-10-20 23:19:09.053125+04"
"And the story began, ""Former Vice President Al Gore announced in Nigeria yesterday,"" quote: '","past_simple","other",0,"c6542e8cc7a1ed5e73858a5609671dcb8f98073f4daba42c93dbc41f","2020-10-20 22:44:08.265721+04"
"My wife Tipper and I have opened a low-cost family restaurant'"" ""'named Shoney's, and we are running it ourselves.'","present_continuous","other",0,"763bce001a3207c2f30dd4b3f2d0e471c0990658ffe2ac229877ff3a","2020-10-20 22:44:27.046372+04"
""" Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on one of them had me in a big white chef's hat, Tipper was saying, ""One more burger with fries!""","past_simple","other",0,"89efd29ea356ba585024756831a2df6a43a366d99dbbf5155512453c","2020-10-20 22:47:36.000535+04"
"We have to change the minds of the American people.","used_to","other",0,"60cbfae5ff7aaaf344c3c237fc46f333dc09c9f0c720b75d96d7d3ba","2020-10-20 22:47:42.973825+04"
"Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, ""Congratulations on the new restaurant, Al!","present_continuous","other",0,"303327d970c07904ed3b15d42297ede067800e7d6d13052ee79c312b","2020-10-20 22:47:49.425124+04"
""" We like to celebrate each other's successes in life.","present_simple","present_simple",0,"b88228b69da747dfed29a4d4b46ec14f43e5bcbc7facf6402ddbb3d5","2020-10-20 22:47:54.510261+04"
"I was going to talk about information ecology.","past_continuous","other",0,"7b1533e63d5d1bc4079e65eae1c973cead5fe01867ae4b57fae3a5d9","2020-10-20 22:48:08.505617+04"
"But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.","present_continuous","other",0,"2212d3e501b41165992d119998560266834d88ea580ace43d48b2ce7","2020-10-20 22:48:13.772848+04"
"Chris Anderson: It's a deal!","present_simple","other",0,"7dca1638caec5fec6216771fecd3ed5bb43119f07e9ad408f0833c42","2020-10-20 22:48:34.152816+04"
"Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?","future_simple","other",0,"594eb667b5baa47a27ac72bd5ba51d4ca93a226c6014b9480388a0d3","2020-10-20 22:48:43.343247+04"
"I want to start with a couple of","present_simple","trash",1,"a8601ae9db235782ed377a29b771e1a03c221bf69ab8a9ab411dc454","2020-10-20 22:51:35.375929+04"
"I'm going to show some new images, and I'm going to recapitulate just four or five.","present_continuous","other",0,"c6da4f261b84c1e26c3cb5483ba3ae19ce5c6bab5badc4fa70e7626b","2020-10-20 22:51:43.310961+04"
"I update the slide show every time I give it.","present_simple","present_simple",0,"3f7447ee70d376a4859fcabb1026e8fcb90d3a46dd6a1bca159e2799","2020-10-20 22:51:47.784525+04"
"Cars and trucks are very significant, and we have the lowest standards in the world.","present_continuous","other",0,"bb4bc08faa5fc70af0be241274dae804f8e0a1e1588429bc04f922d6","2020-10-20 23:11:50.805191+04"
"I add new images, because I learn more about it every time I give it.","present_simple","present_simple",0,"7a79c1e0c51ad7b5e2fb680e5edc802902460e19b66bc6eadd0d5f3d","2020-10-20 22:56:24.245891+04"
"It's like beach-combing, you know?","present_simple","other",0,"d30c43a5b26462919d442b4b065111303852568d677400f47af5c017","2020-10-20 22:56:42.940698+04"
"Every time the tide comes in and out, you find some more shells.","present_simple","present_simple",0,"1f16f7596c065b609daf1f8ee3ad7b7d612e1f72efa1d0cf01c749d0","2020-10-20 22:56:59.604362+04"
"Just in the last two days, we got the new temperature records in January.","past_simple","past_simple",0,"cddb415722cb1e2341eb6cb7105969649a469d7f1933cc8e388a47e7","2020-10-20 22:57:08.378602+04"
"This is just for the United States of America.","present_simple","to_be_present",0,"85c28c0fc8897568a7397efc59d45bd9030bb134309f02da29f101b3","2020-10-20 22:57:23.620938+04"
"Historical average for Januarys is 31 degrees; last month was 39.5 degrees.","to_be_present","other",0,"7c5944fb89ebddcadb7f9e752efb12e6977e929ab96dabe25c14e365","2020-10-20 22:57:52.977766+04"
"Now, I know that you wanted some more bad news about the environment I'm kidding.","present_continuous","other",0,"b98f41399c5ec87e522bed60e70710d179646ecc0c1dad0ba284a476","2020-10-20 22:59:05.410054+04"
"But these are the recapitulation slides, and then I'm going to go into new material about what you can do.","present_continuous","other",0,"97600cefa8c9e01b6fb8ae0aeb4399d453efaca8c26f3b9781779b28","2020-10-20 22:59:27.272374+04"
"But I wanted to elaborate on a couple of these.","past_simple","past_simple",0,"9e2d17d54e8f9b000e714b4a787007fd08576e2ca239ece09bcf8307","2020-10-20 22:59:35.938071+04"
"First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.","present_simple","other",0,"6cdf21acc7425581f71d871279a423e61126c639438f362d4113276a","2020-10-20 22:59:45.609477+04"
"Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.","present_continuous","other",0,"a8b9c2d4da3176ff2483f392aa0b83501ad8c6ab6430d2d88d97cdb6","2020-10-20 23:07:47.092391+04"
"it's not a cost; it's a profit.","present_simple","to_be_present",0,"2a53881c21696b88662f05c9d2215e4fbc6c3fd8b2ed887f12febece","2020-10-20 23:07:55.064665+04"
"It's not negative; it's positive.","present_simple","to_be_present",0,"2fd8027077a6ab8dad8c2421a8d47a11217e3c53eb452330c2af8364","2020-10-20 23:08:04.577414+04"
"These are investments that pay for themselves.","to_be_present","other",0,"0ea4c686949a908b6cf9b6b212a11e83f588ee02ec4a90a29d05c9f5","2020-10-20 23:09:44.052377+04"
"But they are also very effective in deflecting our path.","present_continuous","to_be_present",0,"33c53af88724520f0c749881d8b9016f000c2f26216bf331e8f7fabc","2020-10-20 23:10:52.583527+04"
"Cars and trucks I talked about that in the slideshow, but I want you to put it in perspective.","present_continuous","other",0,"8193e9702507e20a30261eac56b44c6b5f04008967fa9bc3a0e65be8","2020-10-20 23:11:03.316969+04"
"And so we should address that.","future_simple","other",0,"e0751a6ca4c651b39c0c51e2f96fe35a4a43fc4b18f74cae588f455d","2020-10-20 23:11:52.573357+04"
"But it's part of the puzzle.","present_simple","to_be_present",0,"7c961c07fb5e0a705f170083a0b01bc3476ba2ad9bdaa5cb509925b6","2020-10-20 23:11:59.008458+04"
"It's an easy, visible target of concern and it should be","future_simple","trash",1,"8dd8550e81540983cb7aac2c52ffa2707c20482d912d3c86e695859d","2020-10-20 23:11:15.78891+04"
"but there is more global warming pollution that comes from buildings than from cars and trucks.","present_continuous","trash",1,"0673bb62efaa5639f9ffd9d2d5464986a4059d523c6620243035ec9f","2020-10-20 23:11:21.918984+04"
"Other transportation efficiency is as important as cars and trucks.","present_continuous","to_be_present",0,"a22369a488b1b25299e025b92bc38390ae5f45414412fe482ad8053b","2020-10-20 23:12:28.906358+04"
"Renewables at the current levels of technological efficiency can make this much difference.","can","other",0,"f67896c2c5e08c8ef6b4f23bdef6ed3ee0a045796af8906c609a0677","2020-10-20 23:18:02.391379+04"
"And with what Vinod, and John Doerr and others, many of you here there are a lot of people directly involved in this this wedge is going to grow much more rapidly than the current projection shows it.","present_continuous","other",0,"fa31e9d79b9b1b5d09d9dcd3240f4c840f41f403d96cdc8475f4cb2e","2020-10-20 23:18:04.721568+04"
"Carbon Capture and Sequestration that's what CCS stands for is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.","used_to","other",0,"5fc585012cce84579d0890f922ef8dff25bc8e0d2438c2f3d5f0d008","2020-10-20 23:18:09.396234+04"
"Now, what can you do?","can","other",0,"af10a6fed348a62365cdc1bdc9fae62bbc456e1e9b8d988124b981cf","2020-10-20 23:18:12.264483+04"
"Reduce emissions in your home.","past_simple","other",0,"ec43feb7c649193abcdb16c7f8498cdb1710d66068f3ef8a5c13a269","2020-10-20 23:18:18.433428+04"
"Buy green electricity where you can.","can","other",0,"486dba42fb41e6d3c0e0fcbe8edf381f5b84eb15eafa61c1fd1d24e5","2020-10-20 23:19:11.96711+04"
"I mentioned automobiles buy a hybrid.","past_simple","past_simple",0,"5b6634ee4b3adede3a7f4fc56bf7446a7c5efa9a189e82d0af441e7b","2020-10-20 23:19:14.962543+04"
"Figure out some of the other options that are much better.","to_be_present","other",0,"3cc122f99128b435d1f63f398225b11d7ccbc526bc953bf24b67e605","2020-10-20 23:19:18.555385+04"
"You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis.","present_perfect","other",0,"c9b88a0daffdf6aed0e7717f02fda6344097f9b49a403cb84ef902ee","2020-10-20 23:19:23.454722+04"
"Make a decision to live a carbon-neutral life.","future_simple","other",0,"972c431ddda77362499e0f736fef701d1b5e8c13cb0f031b88f2b226","2020-10-20 23:19:24.865469+04"
"Because presently, the politicians do not have permission to do what needs to be done.","present_simple","other",0,"00817a991dc09e76c6a99d7c9150d8e7da5f41fc3fc394216c44cc8b","2020-10-20 23:19:34.906021+04"
"Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.","future_simple","other",0,"b199064adb3774ec04dd2c0a459f393a663ff8a25b764bf4f30bdd12","2020-10-20 23:19:36.584005+04"
"It is easier than you think.","to_be_present","to_be_present",0,"ffc252d3ade74bb3df406dc4ff1b56e540019c7d133d895695af36e5","2020-10-20 23:19:40.972394+04"
"A lot of us in here have made that decision, and it is really pretty easy.","present_perfect","other",0,"c98f25c858e08848ad086d8066ca73cb6647212909531134e2034c38","2020-10-20 23:19:44.730709+04"
"It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced.","present_simple","other",0,"fc98c297dbf65211a0862b53e2eccc06352614ea8b59252a8663b57f","2020-10-20 23:19:45.885104+04"
"And what it means is elaborated at climatecrisis.net.","to_be_present","other",0,"efae5735a7439cac8db3b009b61b77689d074990faed757479503769","2020-10-20 23:19:48.901061+04"
"There is a carbon calculator.","to_be_present","to_be_present",0,"d644cda29b06705ece33177db6cdaac242101ebbee62156724815c19","2020-10-20 23:19:50.664602+04"
"Participant Productions convened with my active involvement the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.","future_simple","other",0,"cc2a9ef3ba8a9b12f1e8666c22075c0b5d856fd5696de7c71f6dc624","2020-10-20 23:19:51.810366+04"
"You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.","can","other",0,"d42814d2bbe93ab8de09bf7f95552322357ae1087e80131db7a2517d","2020-10-20 23:19:55.136631+04"
"And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets.","future_simple","other",0,"394ffcae53426a20c1793a6501d7e497a5a2af7b0c3c471db0dad521","2020-10-20 23:19:58.913445+04"
"Next, consider making your business carbon-neutral.","present_continuous","other",0,"20c9615fd87d38e509a5125c8e87a849b6480fa534f399ea01d55f18","2020-10-20 23:20:01.621207+04"
"Again, some of us have done that, and it's not as hard as you think.","present_perfect","other",0,"581470d862fb2aff98b7a8e5b57c47ed007cde98ab836730c9f08483","2020-10-20 23:20:04.467945+04"
"Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community.","present_continuous","other",0,"1baa8354f3d0f02c949025d3a41a6c264a3db6ed6c7bf4ecffc8a54e","2020-10-20 23:20:08.759003+04"
"Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.","present_simple","other",0,"d7b3cbb78dde75152f03b7b36db4d246f4eccac03f896c434a34aca4","2020-10-20 23:20:11.00138+04"
"Over time, people do what you pay them to do.","present_simple","present_simple",0,"fddab1a910afd548d8657352c3371c1996f9897c9825a07c010defdf","2020-10-20 23:20:19.195324+04"
"And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.","present_simple","other",0,"6cc8d4fc160af6fb922fe59c252f86905db4309c3c994f6dd03a4ee5","2020-10-20 23:20:19.97555+04"
"A lot more to be said about that.","to_be_future","other",0,"dc9bf7e0dca5e7f8b4a07a51b72a939b04cf9137473cbd7dbdf69e39","2020-10-20 23:20:22.156923+04"
"Become a catalyst of change.","present_simple","other",0,"b1e7c926f7ac7da6ea41495b220ec9a8306b71753c91d700a63ee98d","2020-10-20 23:20:24.925746+04"
"Teach others, learn about it, talk about it.","future_simple","other",0,"796d5d16ab6e049be047fac064b4ff43b772368dc2721cf3ec11a33b","2020-10-20 23:20:26.616401+04"
"The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining.","past_simple","other",0,"6f55f99fba1b90962e401b97e95875c237de050afcf0ad7c3ac65b88","2020-10-20 23:20:31.879566+04"
"And it comes out in May.","present_simple","present_simple",0,"14bce64e47a72ae12ff23d72494772b7d2d6888c77f55a06a19229d6","2020-10-20 23:20:35.735665+04"
"Many of you here have the opportunity to ensure that a lot of people see it.","present_simple","other",0,"8e391bcab9073737d588754ace28318b6c5d5c18f33cb48e4d835d51","2020-10-20 23:23:38.56072+04"
"Consider sending somebody to Nashville.","present_continuous","other",0,"86119125c1b9014546717dea8815c7cc26d71b938fb18759db0a2958","2020-10-20 23:23:48.474359+04"
"And I am personally going to train people to give this slideshow re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean.","present_continuous","other",0,"25aac14efdb79c71cddde16c4c0ffda10f948ebd00287bef9692721b","2020-10-20 23:23:50.838731+04"
"And it's how they link together.","present_simple","present_simple",0,"40293416c8f54a51f25326bcac154476ef9c88228d4e2c2c49102133","2020-10-20 23:24:00.579434+04"
"And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge.","present_continuous","other",0,"81710a29a3769a0964b8e602d5676f24efaf6f9440af4b2553496d21","2020-10-20 23:24:07.166489+04"
"Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way.","present_continuous","other",0,"087adceb46dfe3b1b17c133024b62fb743dab279712e0f85308dd9ea","2020-10-20 23:24:09.031745+04"
"Where did anybody get the idea that you ought to stay arm's length from politics?","future_simple","other",0,"4b1b26c05a824bdd9b663e74497e9cafa2915d0a1b126873145bd0ff","2020-10-20 23:24:10.992648+04"
"It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.","used_to","other",0,"d030146651686a3afdd56b7ca698b48bf298c15a8de281156edab505","2020-10-20 23:24:20.684235+04"
"We need Republicans as well.","present_simple","present_simple",0,"1a7130685d19f9f0cd34c1fb8460086f9ab26b906d15fbe0a5a14998","2020-10-20 23:24:24.398512+04"
"This used to be a bipartisan issue, and I know that in this group it really is.","used_to","other",0,"05f5814ebf5038baf30eb9f93cc0822890f15c2634d03f36919d340b","2020-10-20 23:24:44.243327+04"
"Make our democracy work the way it's supposed to work.","future_simple","other",0,"7fc3360b515318f8c162b0b0998c3cf14664691a8c0bfe6b067e9e49","2020-10-20 23:41:22.015284+04"
"Support the idea of capping carbon dioxide emissions global warming pollution and trading it.","present_continuous","other",0,"c181571916e625f25529b610eba81a586a9167d45741187ff497e588","2020-10-20 23:41:39.595856+04"
"Here's why: as long as the United States is out of the world system, it's not a closed system.","present_simple","other",0,"17f7395b9c5054edd6dd8df0813dac6d381e7f4078b6c3b8233be75b","2020-10-20 23:41:43.087327+04"
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors how many people here serve on the board of directors of a corporation?","present_simple","other",0,"7a4407a2fbb51617e62f73d7184c37bb5ad03150b99bcfde22cd8b44","2020-10-20 23:41:48.506525+04"
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided.","future_simple","other",0,"7f517d850d070406fbc02dd847f4bbcb00fa215a6ee4f034f8ca2cd7","2020-10-20 23:41:50.766467+04"
"The market will work to solve this problem if we can accomplish this.","future_simple","other",0,"898a39ec86aaa586aed82b8d9dc7f412b5d43b696da61780af5f7858","2020-10-20 23:41:55.509571+04"
"Help with the mass persuasion campaign that will start this spring.","future_simple","other",0,"a4201a6f870d442e56576b114b5d0595c84af8c1943c78aa4b78b2a7","2020-10-20 23:41:57.761002+04"
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.","present_continuous","other",0,"f58856a9f0e7d40029d24b8829cb3370d5992884968099151770985c","2020-10-20 23:42:01.587821+04"
"It's now repetition of short, hot-button, 30-second, 28-second television ads.","present_simple","other",0,"0e97c0201d5c24f06fb1b2f2441e1b25606286ed8f975a4383aa0ee2","2020-10-20 23:42:06.584377+04"
"We have to buy a lot of those ads.","used_to","other",0,"588158fd38b612acf248f709ffbcf23e33d40215e818c4b52e481d33","2020-10-20 23:42:10.811209+04"
"Let's re-brand global warming, as many of you have suggested.","future_simple","other",0,"aeb9de012378142722d62c475c7a3fdaa72dcc6daf889d4c9b2c632d","2020-10-20 23:42:14.285578+04"
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.","present_continuous","other",0,"75e5972bf7dbaef12c17876811e6c6203d6ccb236be524ca504c40a5","2020-10-20 23:42:20.681901+04"
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.","present_continuous","other",0,"ce8435157c34e8957303639b589889e151072e3c7daa1d8ee783f516","2020-10-20 23:42:24.570683+04"
"I said the other night, and I'll repeat now:","past_simple","other",0,"437f96fe358ca97868a958f4a51c3d051ff9336cca1d7b9199dcf73a","2020-10-20 23:42:29.501212+04"
"this is not a political issue.","to_be_present","other",0,"ad208e3e337392cb5e8f6037bde2aa2f514958cd9c896f51920e6f87","2020-10-20 23:42:31.910491+04"
"Again, the Republicans here this shouldn't be partisan.","to_be_future","other",0,"2ca362a85028271eff7e5cf610104dd3514fc64fb9111ff15454870b","2020-10-20 23:42:36.424455+04"
"You have more influence than some of us who are Democrats do.","present_simple","other",0,"3ed66be05ac993a2e9c7e9195d189e62c3cc76fdae4537a1c19d8d6a","2020-10-20 23:42:42.139317+04"
"Not just this, but connected to the ideas that are here, to bring more coherence to them.","present_continuous","other",0,"86181afc84195ebc1bc50dfd78e8e90c96b614f5f7d68fbed3669b2c","2020-10-20 23:42:44.807541+04"
"Thank you very much, I appreciate it.","present_simple","other",0,"166e24feaaf08a72fa5fe86a86f32796c54ab83bff26545569585ad2","2020-10-20 23:42:46.590437+04"
"In terms of invention, I'd like to tell you the tale of one of my favorite projects.","future_simple","other",0,"ed926eee539bdd65d92ff1949756f5017fdae2bd431d2bf34e5e8cf3","2020-10-20 23:42:49.57034+04"
"I think it's one of the most exciting that I'm working on, but I think it's also the simplest.","present_simple","other",0,"8f0f105e94a6bde08a5a3d7a3c6eae7ee74d96165019ad4e9c4c828f","2020-10-20 23:42:54.88826+04"
"It's a project that has the potential to make a huge impact around the world.","present_simple","other",0,"8295472707f3f8e34825bb04d50a3c7ea86dbff680fa86d3e63d7664","2020-10-20 23:42:59.970077+04"
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five.","present_perfect","other",0,"02d36e2303cc5433d05bc67b65f31a471f8fb0dffe806238a6388c61","2020-10-20 23:43:31.39125+04"
"It's breathing the smoke from indoor cooking fires acute respiratory infections caused by this.","present_perfect","other",0,"60537daa44ddb287439aebdd349154cfda05ed74da22ae0ee47bbf7b","2020-10-20 23:43:37.32993+04"
"I find this shocking and somewhat appalling.","to_be_present","present_simple",0,"aa8175a414aa2109e2561aff6eb8db6c2ffe311beb5704babfe5d45a","2020-10-20 23:43:47.110706+04"
"Can't we make cleaner burning cooking fuels?","can","other",0,"e9f00b167ec4999e5a7ab282fce4907224321e183e3fc22824fca8ee","2020-10-20 23:43:51.291905+04"
"Can't we make better stoves?","can","other",0,"1bc7a2a56742dbb83623c377dd179493f3d600fc40fecf1a79809135","2020-10-20 23:43:52.656466+04"
"How is it that this can lead to over two million deaths every year?","can","other",0,"4302034f85888dc74016a8bb4cba7971943dd0f589edfa8f76fb693e","2020-10-20 23:43:54.928422+04"
"I know Bill Joy was talking to you about the wonders of carbon nanotubes, so I'm going to talk to you about the wonders of carbon macro-tubes, which is charcoal.","present_continuous","other",0,"541301b814c7d01d5681ff880a8d17296feae75d0289a43a69b4ef42","2020-10-20 23:43:56.937905+04"
"So this is a picture of rural Haiti.","to_be_present","to_be_present",0,"028f3ca46e36432db9979c20d2a8a39cc61583f59fb1168cb80f8b54","2020-10-20 23:44:03.02336+04"
"Haiti is now 98 percent deforested.","to_be_present","to_be_present",0,"6719a21702b3310401ca3408e7135de72adf33581eaf5f76f641c005","2020-10-20 23:44:06.824488+04"
