sent,type
"In the music show, the horns were the loudest instruments.",a1_superlative_short
John is the tallest man in the world!,a1_superlative_short
My house is the largest one in our neighborhood.,a1_superlative_short
This is the smallest box I've ever seen.,a1_superlative_short
Your dog ran the fastest of any dog in the race.,a1_superlative_short
My rock flew the highest.,a1_superlative_short
It was the happiest day of my life.,a1_superlative_short
Everest is the highest mountain in the world.,a1_superlative_short
I have three sisters: Jan is the oldest and Angela is the youngest.,a1_superlative_short
She is one of the politest people I have ever met.,a1_superlative_short
This bowl is the biggest one.,a1_superlative_short
The runt of the litter is the smallest.,a1_superlative_short
Jupiter is the biggest planet in our solar system.,a1_superlative_short
She is the smartest girl in our class.,a1_superlative_short
I am the shortest person in my family.,a1_superlative_short
Mount Everest is the highest mountain in the world.,a1_superlative_short
Hannah is the tallest person in her family.,a1_superlative_short
Grapefruit is the healthiest fruit.,a1_superlative_short
You have the biggest desk in the whole office.,a1_superlative_short
Our package deal to Spain was by far the cheapest holiday I've ever been on!,a1_superlative_short
Sarah is the cleverest student in our year.,a1_superlative_short
He is the angriest man I have ever seen met!,a1_superlative_short
That is the cutest dog I've ever seen!,a1_superlative_short
That was the fastest journey I've ever been on.,a1_superlative_short
"Apparently, Americans are some the funniest people in the world.",a1_superlative_short
There is a cat in the box.,a1_there_is_am_are
There are two cats on the couch.,a1_there_is_am_are
There is one table in the classroom.,a1_there_is_am_are
There are many sinners in Hell.,a1_there_is_am_are
There is a spider in the bath.,a1_there_is_am_are
There are three cats on the couch.,a1_there_is_am_are
There is ice cream on your shirt.,a1_there_is_am_are
There are two cats and a midget in the car.,a1_there_is_am_are
There is a table and two chairs in the room.,a1_there_is_am_are
There's a good song on the radio.,a1_there_is_am_are
There's only one chocolate bar left in the box.,a1_there_is_am_are
There are nine cats on the roof.,a1_there_is_am_are
There are only five weeks until my birthday.,a1_there_is_am_are
There's three other people who are still to come.,a1_there_is_am_are
There's lots of cars in the car park.,a1_there_is_am_are
Is there anybody at home?,a1_there_is_am_are
Are there any cats on the floor?,a1_there_is_am_are
How many cats are there on the couch?,a1_there_is_am_are
How much water is there in the bottle?,a1_there_is_am_are
What is there in the box?,a1_there_is_am_are
How many dogs are there in the park?,a1_there_is_am_are
How many horror movies are there in your collection?,a1_there_is_am_are
How many students are there in your class?,a1_there_is_am_are
There is no money in the wallet.,a1_there_is_am_are
There aren't any people at the party.,a1_there_is_am_are
There isn't any sugar in my coffee.,a1_there_is_am_are
There's a good movie on channel 2.,a1_there_is_am_are
There are a lot of rules at the airport.,a1_there_is_am_are
There isn't a stadium in the town.,a1_there_is_am_are
There were 3 strangers outside the office.,a1_there_was_were
There was a cat in the house.,a1_there_was_were
There was money in the safe.,a1_there_was_were
There was a dog barking at us.,a1_there_was_were
There was a grocery store right there.,a1_there_was_were
There was a dog in the street.,a1_there_was_were
There were two police officers waiting for you outside.,a1_there_was_were
There were three friends of mine who wanted to do that.,a1_there_was_were
There were a lot of people outside the house.,a1_there_was_were
There were many stores around here.,a1_there_was_were
There were 7 fish in the fish tank.,a1_there_was_were
There wasn't any money in the bank.,a1_there_was_were
There wasn't a christmas tree in the living room.,a1_there_was_were
There wasn't a black chair in the store.,a1_there_was_were
There weren't many options available to us.,a1_there_was_were
There weren't many movies to watch online.,a1_there_was_were
There weren't any fans in the store.,a1_there_was_were
There weren't any improvements in 2019.,a1_there_was_were
There weren't any attempts to fix the problem.,a1_there_was_were
Was there a man standing here?,a1_there_was_were
Was there a soccer player in the hotel?,a1_there_was_were
Were there two police officers at the station?,a1_there_was_were
Were there many people working in the bank?,a1_there_was_were
Were there many police officers around here?,a1_there_was_were
Were there many things to do?,a1_there_was_were
Was there a great depressions 100 years ago?,a1_there_was_were
Were there a lot of people at the party?,a1_there_was_were
Was there any water left?,a1_there_was_were
There'll be somebody meeting you at the airport.,a1_there_will_be
Will there be your friends there?,a1_there_will_be
"Don't do it again, Dexter, or there will be consequences.",a1_there_will_be
"At 8 p.m there will be a poetry reading, dirty words.",a1_there_will_be
But there will be numerous obstacles in the next 50 miles.,a1_there_will_be
"Of course, there will be events which could knock us off course.",a1_there_will_be
"If you kill me, there will be others.",a1_there_will_be
"If that happens, there will be flames.",a1_there_will_be
There will be wars; there will be depressions; there will be natural disasters.,a1_there_will_be
And of course there will be advertisements.,a1_there_will_be
And there will be no fourth.,a1_there_will_be
She says there will be no more secrets on Starship UK.,a1_there_will_be
"Next time you come, there will be.",a1_there_will_be
Yes and there will be a large commission.,a1_there_will_be
"Therefore, there will be no jail time served.",a1_there_will_be
"Therefore, there will be no significant difference between the legal and economic characterization for this type of contract.",a1_there_will_be
Therefore it is expected that there will be minimal costs associated with disposal of unusable stocks.,a1_there_will_be
"Monday, there will be a new addition to the Frasier Crane radio family.",a1_there_will_be
"Rest assured, there will be no caterwauling today.",a1_there_will_be
I'm sure there will be other offers.,a1_there_will_be
We fear that there will be a major decline fish stocks as a result.,a1_there_will_be
"Outside of client hospitality, there will be no drinking in the office",a1_there_will_be
Which means there will be some soon.,a1_there_will_be
"Consequently, there will be an increase in associated activities and resources requirements.",a1_there_will_be
"So, tell her there will be a truce.",a1_there_will_be
"If we don't act, there will be a war.",a1_there_will_be
They won't be married,a1_to_be_future_will_be
will you be a doctor?,a1_to_be_future_will_be
He won't be a student,a1_to_be_future_will_be
Will he be teacher?,a1_to_be_future_will_be
Currently vacant core budget posts will be frozen.,a1_to_be_future_will_be
The annex will be part of the final report that will be completed after the session.,a1_to_be_future_will_be
"A credible, fully participatory election process will be critical to the full recognition of the Government that will be installed.",a1_to_be_future_will_be
"Under the Initiative, governance will be one of the key priorities of assistance that will be coordinated by UNDP.",a1_to_be_future_will_be
Regional preparedness will be increased and partnerships in emergencies will be further strengthened.,a1_to_be_future_will_be
North Carolina weather this morning will be unseasonably cool.,a1_to_be_future_will_be
It will be updated as necessary.,a1_to_be_future_will_be
Funding will be the major challenge in the years ahead and the timely allotment of monies will be critical to effective action.,a1_to_be_future_will_be
Two of them will be East Timorese and three will be internationally recognized electoral experts.,a1_to_be_future_will_be
"By the time it will be ready, you will be landing in Heathrow.",a1_to_be_future_will_be
"These products will be widely disseminated and will be available electronically, via the Internet.",a1_to_be_future_will_be
"Someday TV will be invented, and it will be free.",a1_to_be_future_will_be
The scan will be this afternoon and sentence will be at midnight tonight.,a1_to_be_future_will_be
Detailed information will be available shortly on the OECD website and invitations will be sent out.,a1_to_be_future_will_be
Then she won't be fine.,a1_to_be_future_will_be
They won't be watching the roads.,a1_to_be_future_will_be
"Besides, I reckon Jackson won't be too friendly tonight.",a1_to_be_future_will_be
She won't be a bother much longer.,a1_to_be_future_will_be
She won't be with us for very long.,a1_to_be_future_will_be
They won't be white and they won't be oriental.,a1_to_be_future_will_be
It won't be open tomorrow.,a1_to_be_future_will_be
I won't be responsible for any more violence.,a1_to_be_future_will_be
You won't be around long.,a1_to_be_future_will_be
"We won't be safe, Fermín.",a1_to_be_future_will_be
Your colt won't be visible.,a1_to_be_future_will_be
I want every one collected without exception.,a1_want_would_like_to
Boys want retribution for the courthouse.,a1_want_would_like_to
Some people want her to leave and I don't want that.,a1_want_would_like_to
I want you to want the job.,a1_want_would_like_to
He'll just want what they all want.,a1_want_would_like_to
"You have to do... whatever I want, whenever I want.",a1_want_would_like_to
He wants money before we get Casper.,a1_want_would_like_to
Coach wants us to practice layups.,a1_want_would_like_to
Everybody really wants this Andy guy.,a1_want_would_like_to
Not if he wants a Nobel Prize.,a1_want_would_like_to
He wants me out in Jersey.,a1_want_would_like_to
And he wants everybody to lay low.,a1_want_would_like_to
Bianca wants everything to stay the same.,a1_want_would_like_to
Maybe Jorge would like some ham.,a1_want_would_like_to
"I just wanted someone, He would like.",a1_want_would_like_to
We would like you to tutor our daughter.,a1_want_would_like_to
He would like three men killed.,a1_want_would_like_to
He wouldn't like the answer.,a1_want_would_like_to
"Well, I probably wouldn't like him.",a1_want_would_like_to
He wouldn't like us going to his basement.,a1_want_would_like_to
I wouldn't like to be the woman you cut in half.,a1_want_would_like_to
"I wouldn't like that, and neither would my daughter.",a1_want_would_like_to
I don't want any special treatment.,a1_want_would_like_to
I don't want a producer editing what he says.,a1_want_would_like_to
Plus you don't want me anymore.,a1_want_would_like_to
You don't want me to free vera.,a1_want_would_like_to
And she doesn't want contact with me.,a1_want_would_like_to
He doesn't want to settle.,a1_want_would_like_to
Someone doesn't want you to remember.,a1_want_would_like_to
